ID     X     Y
1    74.75  25.72
2   103.00 129.00
3   108.00 217.00
4    72.60  25.89
5    80.00  74.02
6   100.00 140.00
7    81.80  42.60
8    79.00  55.48
9   103.00 109.00
10   83.95  42.80
11   83.50  73.13
12  104.00 127.00
13   74.65  29.84
14   76.00  50.50
15  106.00 112.00
16   71.85  21.68
17   80.50  50.88
18  109.00 192.00
19   80.90  29.08
20   86.50 140.00
21  103.50 132.00
22   83.40  32.98
23   83.00  96.54
24  110.00 126.00
25   63.50  11.44
26  107.10 118.00
27  110.00 153.00
28   73.20  32.22
29   94.30 107.00
30  112.00 158.00
31   71.90  28.32
32   94.50 123.00
33  108.50 183.00
34   75.00  43.86
35   79.70  65.92
36  104.00 184.00
37   73.10  38.21
38   79.30  81.29
39  111.00 121.00
40   79.00  42.48
41   89.80 111.00
42  108.50 159.00
43   77.00  30.96
44   83.80  90.73
45  121.00 245.00
46   68.85  55.78
47   85.20 133.00
48  109.00 137.00
49   75.95  43.78
50   75.50  41.90
51   97.50 165.00
52   74.15  33.41
53   78.40  41.71
54  105.50 152.00
55   73.80  43.35
56   78.60  58.16
57   98.00 181.00
58   75.90  29.31
59   87.80  88.85
60   94.50  80.95
61   76.85  36.60
62   86.30 155.00
63   97.00 137.00
64   80.90  40.25
65   85.50  70.77
66  105.00 125.00
67   79.90  35.43
68   83.70  75.08
69  106.00 241.00
70   89.20  60.09
71   77.60  57.05
72   99.00 134.00
73   82.00  45.84
74   84.90  99.73
75   91.00 150.00
76   92.00  70.40
77   79.80  27.96
78  102.50 198.00
79   86.60  83.45
80  108.30 123.00
81  106.00 151.00
82   80.50  84.30
83  119.60  90.41
84  109.10 229.00
85   86.00  78.89
86  119.90 106.00
87  115.00 253.00
88   82.50  64.75
89   96.50 144.00
90  101.00 188.00
91   83.50  72.56
92  105.50 121.00
93  100.10 124.00
94   88.10  89.31
95  105.00  97.13
96   93.30  62.20
97   90.80  78.94
98  107.00 166.00
99  101.80 133.00
100  89.40  83.55
101 107.00  87.99
102 107.90 208.00
103 102.00 127.00
104 101.00 154.00
105 108.50 208.00
106  94.50 121.00
107  97.00 100.00
108  91.00 107.00
109 100.00 123.00

